movie_id,title,rating,meta_score,year,revenue,director_id
390,the great gatsby,7.2,55.0,2013,351040419,74.0
391,old,5.8,55.0,2021,90146510,525.0
392,the usual suspects,8.5,76.0,1995,23341568,116.0
393,me before you,7.4,51.0,2016,207945075,848.0
394,free guy,7.1,62.0,2021,331526598,797.0
395,dead poets society,8.1,79.0,1989,235860116,686.0
396,harry potter and the order of the phoenix,7.5,71.0,2007,938212738,210.0
397,from dusk till dawn,7.2,48.0,1996,25836616,734.0
398,kong skull island,6.7,62.0,2017,566652812,457.0
399,a beautiful mind,8.2,72.0,2001,316800000,751.0
400,ex machina,7.7,78.0,2014,36869414,24.0
401,thor love and thunder,6.2,57.0,2022,760928081,834.0
402,dazed and confused,7.6,82.0,1993,7993039,716.0
403,sicario,7.7,82.0,2015,84872444,215.0
404,unfaithful,6.7,63.0,2002,119137784,12.0
405,the mist,7.1,58.0,2007,57470220,260.0
406,indiana jones and the temple of doom,7.5,57.0,1984,333000000,829.0
407,shazam!,7.0,71.0,2019,366080049,192.0
408,smile,6.5,68.0,2022,216135048,650.0
409,home sweet home alone,3.6,35.0,2021,0,175.0
410,lolita,6.8,46.0,1997,9250000,12.0
411,rustin,6.5,68.0,2023,0,282.0
412,cars,7.2,73.0,2006,461983149,
413,kandahar,6.1,52.0,2023,3000000,711.0
414,nymphomaniac vol. i,6.9,64.0,2013,13545832,502.0
415,a bad moms christmas,5.6,42.0,2017,130560428,
416,lady bird,7.4,93.0,2017,78966486,309.0
417,the exorcist,8.1,82.0,1973,441405644,904.0
418,network,8.1,83.0,1976,23689877,798.0
419,it,7.3,69.0,2017,701800000,47.0
420,scream vi,6.5,61.0,2023,168961389,
421,amsterdam,6.1,48.0,2022,31245810,205.0
422,excalibur,7.3,56.0,1981,34967437,412.0
423,guardians of the galaxy,8.0,76.0,2014,772776600,348.0
424,the terminator,8.1,84.0,1984,78371200,343.0
425,the place beyond the pines,7.3,68.0,2012,47135966,217.0
426,secretary,6.9,63.0,2002,9304609,827.0
427,the thing,8.2,57.0,1982,19629760,414.0
428,robocop,7.6,70.0,1987,242688965,663.0
429,spider-man,7.4,73.0,2002,821708551,768.0
430,the martian,8.0,80.0,2015,630600000,717.0
431,the greatest showman,7.5,48.0,2017,432844677,582.0
432,i can only imagine,7.3,30.0,2018,86026201,
433,mother!,6.6,76.0,2017,44516999,184.0
434,the talented mr. ripley,7.4,76.0,1999,128798265,57.0
435,while you were sleeping,6.8,67.0,1995,182057016,445.0
436,harry potter and the half-blood prince,7.6,78.0,2009,933959197,210.0
437,the fast and the furious tokyo drift,6.0,45.0,2006,158964610,473.0
438,knock at the cabin,6.1,63.0,2023,54708659,525.0
439,divinity,5.7,61.0,2023,0,230.0
440,braveheart,8.3,68.0,1995,213216216,569.0
441,basic instinct,7.0,43.0,1992,352927224,663.0
442,the hangover,7.7,73.0,2009,469310836,865.0
443,elvis,7.3,64.0,2022,288670284,74.0
444,8 mile,7.2,77.0,2002,242875078,169.0
445,percy jackson & the olympians the lightning thief,5.9,47.0,2010,226497209,140.0
446,about time,7.8,55.0,2013,87100449,713.0
447,the revenant,8.0,76.0,2015,532950503,21.0
448,pale rider,7.3,61.0,1985,41410568,161.0
449,kung fu panda 3,7.1,66.0,2016,521170825,
450,boogie nights,7.9,86.0,1997,43101594,662.0
451,the matrix resurrections,5.7,63.0,2021,156497322,500.0
452,meet joe black,7.2,43.0,1998,142940100,545.0
453,the maze runner,6.8,57.0,2014,348319861,899.0
454,puss in boots the last wish,7.8,73.0,2022,482129780,
455,falling for christmas,5.2,40.0,2022,0,361.0
456,one flew over the cuckoos nest,8.7,84.0,1975,108981275,607.0
457,batman begins,8.2,70.0,2005,374218673,154.0
458,blockers,6.2,69.0,2018,94017294,479.0
459,jumanji,7.1,39.0,1995,262821940,400.0
460,the mummy,7.1,48.0,1999,415885488,819.0
461,indiana jones and the last crusade,8.2,65.0,1989,474171806,829.0
462,nope,6.8,77.0,2022,170823080,456.0
463,uncut gems,7.4,92.0,2019,50020902,
464,surviving christmas,5.4,19.0,2004,14793624,602.0
465,the grand budapest hotel,8.1,88.0,2014,174600318,898.0
466,bridget joness diary,6.8,66.0,2001,281929795,796.0
467,1917,8.2,78.0,2019,394638258,767.0
468,the lion king,8.5,88.0,1994,763455561,
469,the last duel,7.4,67.0,2021,30500000,717.0
470,the lost city,6.1,60.0,2022,192907684,
471,west side story,7.1,85.0,2021,43656822,829.0
472,american history x,8.5,62.0,1998,23875127,881.0
473,the pianist,8.5,85.0,2002,120072577,749.0
474,the star,6.3,42.0,2017,0,859.0
475,the lion king,6.8,55.0,2019,763455561,441.0
476,dunkirk,7.8,94.0,2017,527000000,154.0
477,a clockwork orange,8.3,77.0,1971,26589000,810.0
478,encanto,7.2,75.0,2021,253000000,
479,the social network,7.8,95.0,2010,224920315,193.0
480,trolls,6.4,55.0,2016,346864462,
481,hacksaw ridge,8.1,71.0,2016,175302354,569.0
482,the phantom of the opera,7.2,40.0,2004,154648887,409.0
483,once upon a time in america,8.3,75.0,1984,5500000,788.0
484,fatman,5.9,40.0,2020,0,
485,donnie darko,8.0,88.0,2001,7500000,715.0
486,fall,6.4,62.0,2022,16120263,778.0
487,uncle buck,7.1,51.0,1989,79258538,421.0
488,christmas with the campbells,5.4,56.0,2022,0,158.0
489,the other guys,6.6,64.0,2010,170432927,7.0
490,the girl next door,6.7,47.0,2004,31635150,523.0
491,black christmas,4.7,22.0,2006,4053000,299.0
492,almost famous,7.9,90.0,2000,47386287,120.0
493,snatch,8.2,55.0,2000,83557872,314.0
494,batman v superman dawn of justice,6.5,44.0,2016,873637528,917.0
495,the hunt,6.5,50.0,2020,18309793,168.0
496,ratatouille,8.1,96.0,2007,623726000,
497,jojo rabbit,7.9,58.0,2019,82468705,834.0
498,the lighthouse,7.4,83.0,2019,18129854,729.0
499,sing,7.1,59.0,2016,634151679,
500,avengers infinity war,8.4,68.0,2018,2052415039,
501,the girl with the dragon tattoo,7.8,71.0,2011,232617430,193.0
502,fury,7.6,64.0,2014,211817906,187.0
503,the king,7.3,62.0,2019,0,203.0
504,the fabelmans,7.5,84.0,2022,45598614,829.0
505,the unbearable weight of massive talent,7.0,68.0,2022,29116320,869.0
506,the witch,7.0,84.0,2015,40423945,729.0
507,paw patrol the mighty movie,6.0,49.0,2023,47400000,119.0
508,star wars episode i - the phantom menace,6.5,51.0,1999,924317558,285.0
509,crocodile dundee,6.6,62.0,1986,328203506,676.0
510,stand by me,8.1,75.0,1986,52287414,723.0
511,the voyeurs,6.1,54.0,2021,0,590.0
512,the big short,7.8,81.0,2015,133346506,7.0
513,matilda,7.0,72.0,1996,33459416,181.0
514,annihilation,6.8,79.0,2018,43070915,24.0
515,"red, white & royal blue",7.0,62.0,2023,0,560.0
